City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
403,san vicente,-26.6167,-54.1333,19.59,100,100,0.74,AR,1679799542
404,port hedland,-20.3167,118.5667,33.03,55,40,2.06,AU,1679799543
405,hastings,50.8552,0.5729,8.86,47,100,5.79,GB,1679799543
406,karasburg,-28.0167,18.75,14.52,77,0,2.69,NA,1679799544
407,barabai,-2.5833,115.3833,27.97,80,87,1.18,ID,1679799544
408,svetlogorsk,52.6333,29.7333,7.51,92,100,2.3,BY,1679799545
409,taltal,-25.4,-70.4833,20.31,85,5,0.84,CL,1679799508
410,pavlikeni,43.2428,25.3219,12.6,78,83,7.57,BG,1679799546
411,contai,21.7786,87.7536,29.46,61,0,4.5,IN,1679799546
412,basco,20.4487,121.9702,25.75,80,45,2.97,PH,1679799547
413,zhanaozen,43.3,52.8,11.26,23,48,5.05,KZ,1679799548
414,gizo,-8.103,156.8419,29.05,63,28,1.82,SB,1679799548
415,sembe,1.6481,14.5806,20.43,99,100,0.61,CG,1679799549
416,margate,51.3813,1.3862,8.83,88,100,1.34,GB,1679799534
417,kieta,-6.2167,155.6333,29.32,67,82,2.43,PG,1679799550
418,dudinka,69.4058,86.1778,-16.32,97,100,2.33,RU,1679799550
419,kushiro,42.975,144.3747,5.53,81,75,8.75,JP,1679799551
420,neuquen,-38.9516,-68.0591,14.94,58,0,1.54,AR,1679799552
421,the pas,53.8251,-101.2541,-4.99,50,20,2.06,CA,1679799552
422,saint anthony,45.0205,-93.218,2.48,64,0,3.09,US,1679799553
423,pinheiro,-2.5214,-45.0825,22.75,99,94,1.86,BR,1679799548
424,terney,45.0503,136.6092,3.92,43,6,2.71,RU,1679799553
425,esmeraldas,-19.7625,-44.3139,23.48,77,53,1.76,BR,1679799554
426,camacha,33.0833,-16.3333,15.68,77,40,5.14,PT,1679799555
427,nouadhibou,20.931,-17.0347,25.99,31,16,7.72,MR,1679799555
428,tondano,1.3038,124.9112,26.05,87,100,0.76,ID,1679799556
429,banjar,-8.19,114.9675,30.36,65,84,2.05,ID,1679799429
430,rovaniemi,66.5,25.7167,-14.33,85,0,3.6,FI,1679799557
431,kudahuvadhoo,2.6708,72.8944,27.57,72,74,1.03,MV,1679799558
432,burla,21.5,83.8667,29.52,34,8,0.3,IN,1679799558
433,carbonia,39.1672,8.5222,7.78,64,5,0.49,IT,1679799559
434,gunjur,13.2019,-16.7339,22.04,83,20,2.57,GM,1679799559
435,baft,29.234,56.6057,8.44,53,0,1.28,IR,1679799560
436,parvatipuram,18.7833,83.4333,28.22,63,5,1.23,IN,1679799560
437,grand gaube,-20.0064,57.6608,26.22,78,15,1.34,MU,1679799306
438,beloha,-25.1667,45.05,21.68,82,8,6.27,MG,1679799561
439,saint-joseph,-21.3667,55.6167,23.21,85,37,5.24,RE,1679799562
440,grimshaw,56.1834,-117.6027,0.79,75,75,1.54,CA,1679799563
441,viljoenskroon,-27.2084,26.9485,13.26,93,8,1.25,ZA,1679799564
442,kharhial,20.2833,82.7667,28.01,47,100,1.31,IN,1679799565
443,vredendal,-31.6683,18.5012,16.54,91,0,2.86,ZA,1679799565
444,mmabatho,-25.85,25.6333,15.98,94,90,1.54,ZA,1679799566
445,los llanos de aridane,28.6585,-17.9182,17.86,45,0,5.14,ES,1679799566
446,banfora,10.6333,-4.7667,28.57,42,44,1.0,BF,1679799567
447,warrnambool,-38.3833,142.4833,19.63,61,100,2.77,AU,1679799495
448,batocina,44.1536,21.0817,7.9,90,3,0.87,RS,1679799568
449,matadi,-5.8167,13.45,23.48,98,99,0.82,CD,1679799568
450,urusha,54.05,122.9,-1.15,69,48,0.14,RU,1679799569
451,evanston,42.0411,-87.6901,4.5,69,43,1.34,US,1679799570
452,carutapera,-1.195,-46.02,23.86,94,55,0.93,BR,1679799570
453,bulgan,48.8125,103.5347,-0.87,64,17,1.27,MN,1679799571
454,russell,32.3502,-85.1999,22.57,78,0,1.54,US,1679799571
455,cabatuan,10.8794,122.486,31.65,55,80,5.08,PH,1679799572
456,finschhafen,-6.6024,147.8681,29.6,67,35,1.99,PG,1679799572
457,bikramganj,25.2,84.25,28.72,32,27,0.94,IN,1679799573
458,saldanha,-33.0117,17.9442,15.03,90,17,4.61,ZA,1679799370
459,lincoln,40.8,-96.667,8.96,67,85,3.58,US,1679799514
460,rio gallegos,-51.6226,-69.2181,10.03,40,0,9.26,AR,1679799370
461,daru,-9.0763,143.2092,28.42,77,60,2.41,PG,1679799574
462,aswan,24.0934,32.907,18.61,52,0,6.17,EG,1679799575
463,pangnirtung,66.1451,-65.7125,-14.22,85,100,1.63,CA,1679799575
464,hovd,48.0056,91.6419,2.14,27,48,1.58,MN,1679799576
465,yerbogachen,61.2767,108.0108,-2.32,90,100,5.32,RU,1679799576
466,bambanglipuro,-7.95,110.2833,29.15,69,100,2.18,ID,1679799577
467,iquique,-20.2208,-70.1431,23.02,75,59,0.66,CL,1679799578
468,egvekinot,66.3167,-179.1667,-4.25,84,100,10.27,RU,1679799578
469,miranda,3.2499,-76.2281,22.07,92,100,1.45,CO,1679799579
470,paicandu,-23.4575,-52.0486,25.37,73,0,2.57,BR,1679799579
471,ballina,-28.8667,153.5667,26.55,77,44,3.8,AU,1679799472
472,ornes,66.8689,13.7078,-5.11,79,100,3.85,NO,1679799581
473,sicuani,-14.2694,-71.2261,7.5,80,65,2.25,PE,1679799581
474,muisne,0.6,-80.0333,25.3,80,99,0.23,EC,1679799582
475,mackay,-21.15,149.2,31.49,63,1,5.11,AU,1679799582
476,necochea,-38.5473,-58.7368,14.88,71,70,6.58,AR,1679799583
477,port keats,-14.25,129.55,32.61,51,36,3.05,AU,1679799583
478,ugoofaaru,5.6667,73.0,27.73,73,1,2.73,MV,1679799584
479,hebi,35.8992,114.1925,12.17,41,96,1.46,CN,1679799584
480,uray,60.1247,64.7758,1.26,94,100,6.12,RU,1679799585
481,sidi ali,36.0998,0.4206,13.9,55,0,1.85,DZ,1679799586
482,lahij,13.1667,44.5833,23.49,88,69,2.81,YE,1679799587
483,bilma,18.6853,12.9164,20.06,21,3,3.71,NE,1679799588
484,deputatskiy,69.3,139.9,-14.9,85,24,1.91,RU,1679799589
485,road town,18.4167,-64.6167,25.05,68,0,8.5,VG,1679799440
486,balaguer,41.7912,0.8109,10.23,89,8,1.08,ES,1679799590
487,anito,12.4497,125.2886,29.13,68,10,3.37,PH,1679799590
488,nokha,27.6,73.4167,21.82,44,10,7.11,IN,1679799591
489,riohacha,11.5444,-72.9072,25.77,73,98,6.32,CO,1679799591
490,bilibino,68.0546,166.4372,-14.73,89,100,2.76,RU,1679799592
491,bandarbeyla,9.4942,50.8122,27.56,71,100,4.23,SO,1679799592
492,santo antonio do ica,-3.1022,-67.9397,22.71,98,58,0.31,BR,1679799593
493,broken hill,-31.95,141.4333,25.88,17,100,2.66,AU,1679799593
494,gainsborough,53.3833,-0.7667,6.67,1,100,1.79,GB,1679799594
495,phalaborwa,-23.943,31.1411,19.6,68,13,1.73,ZA,1679799594
496,allapalli,19.4167,80.0667,29.17,53,14,1.71,IN,1679799595
497,bantou,26.2151,117.4893,14.79,85,100,1.08,CN,1679799595
498,te anau,-45.4167,167.7167,13.46,63,100,2.9,NZ,1679799596
499,port-gentil,-0.7193,8.7815,27.58,77,89,5.02,GA,1679799597
500,iqaluit,63.7506,-68.5145,-11.15,85,100,4.63,CA,1679799597
501,sao joao da barra,-21.6403,-41.0511,24.18,89,9,2.21,BR,1679799598
502,ikornnes,62.3873,6.557,-0.14,76,27,0.45,NO,1679799598
503,campos belos,-13.0367,-46.7717,22.54,69,74,0.81,BR,1679799599
504,tautira,-17.7333,-149.15,27.36,73,31,3.0,PF,1679799599
505,tecoman,18.9167,-103.8833,20.36,84,93,1.57,MX,1679799495
506,carballo,43.213,-8.691,11.04,87,11,3.41,ES,1679799601
507,adrar,20.5022,-10.0711,23.34,13,72,4.37,MR,1679799602
508,soyo,-6.1349,12.3689,26.21,81,98,2.66,AO,1679799603
509,batemans bay,-35.7167,150.1833,23.84,78,85,3.79,AU,1679799604
510,matara,5.9485,80.5353,27.44,75,63,2.77,LK,1679799605
511,johnston,35.5335,-78.3997,21.01,85,0,4.12,US,1679799607
512,namatanai,-3.6667,152.4333,29.62,67,72,3.53,PG,1679799617
513,casablanca,33.5928,-7.6192,14.12,94,6,3.25,MA,1679799609
514,nova vicosa,-17.8919,-39.3719,25.45,84,74,3.39,BR,1679799646
515,trincomalee,8.5711,81.2335,27.52,72,80,2.53,LK,1679799651
516,slave lake,55.2834,-114.769,-1.01,93,100,6.69,CA,1679799659
517,vila franca do campo,37.7167,-25.4333,16.23,93,42,7.61,PT,1679799664
